x,y,rPRCP,rRS
-393,-1218,175,452.853363037109
-293,-1218,216,524.810852050781
-193,-1218,266,517.793212890625
-93,-1218,435,599.168029785156
7,-1218,483,688.277221679688
107,-1218,544,1007.76324462891
207,-1218,754,1304.80017089844
307,-1218,861,1307.25183105469
407,-1218,970,1169.58117675781
507,-1218,1018,1134.83410644531
607,-1218,1044,1197.1748046875
707,-1218,1260,884.125549316406
807,-1218,1193,1302.20874023438
907,-1218,1523,1308.36328125
1007,-1218,1483,1302.90173339844
1107,-1218,1554,1002.58349609375
1207,-1218,1528,762.551513671875
1307,-1218,1275,1348.0234375
1407,-1218,1171,878.761779785156
1507,-1218,1000,1038.32885742188
1607,-1218,1025,1260.51232910156
1707,-1218,1154,1083.87451171875
1807,-1218,1046,1208.64721679688
-1393,-1318,158,549.314575195312
-1293,-1318,115,385.183380126953
-1193,-1318,173,358.997375488281
-1093,-1318,281,421.454620361328
-993,-1318,265,624.58642578125
-893,-1318,205,420.561370849609
-793,-1318,241,517.63427734375
-693,-1318,97,516.147521972656
-593,-1318,178,422.970092773438
-493,-1318,474,518.219604492188
-393,-1318,196,439.705047607422
-293,-1318,256,446.691680908203
-193,-1318,311,460.805511474609
-93,-1318,385,644.133483886719
7,-1318,438,669.929626464844
107,-1318,642,846.718811035156
207,-1318,718,986.183044433594
307,-1318,815,1220.50573730469
407,-1318,990,1487.81689453125
507,-1318,1048,1366.32348632812
607,-1318,1312,1306.76281738281
707,-1318,1166,865.411743164062
807,-1318,1450,1352.72302246094
907,-1318,1593,1261.66552734375
1007,-1318,1792,723.708190917969
1107,-1318,1479,833.275512695312
1207,-1318,1527,1116.01953125
1307,-1318,1249,1053.56213378906
1407,-1318,1197,1186.13879394531
1507,-1318,960,1160.13342285156
1607,-1318,1096,1107.78527832031
1707,-1318,1083,1268.06201171875
1807,-1318,1065,1274.13525390625
-1193,-1418,219,417.896301269531
-1093,-1418,379,453.60400390625
-993,-1418,276,439.738922119141
-893,-1418,189,465.069488525391
-793,-1418,117,375.155395507812
-693,-1418,132,378.809539794922
-593,-1418,150,374.238006591797
-493,-1418,159,455.713653564453
-393,-1418,160,429.931091308594
-293,-1418,265,405.840301513672
-193,-1418,377,396.819519042969
-93,-1418,456,434.14892578125
7,-1418,565,640.731994628906
107,-1418,712,953.973266601562
207,-1418,799,1038.8232421875
307,-1418,980,1250.08911132812
407,-1418,1087,1242.24291992188
507,-1418,1165,1080.69372558594
607,-1418,1574,1052.92431640625
707,-1418,1518,1101.97119140625
807,-1418,1640,959.736999511719
907,-1418,1788,827.358703613281
1007,-1418,1782,894.66552734375
1107,-1418,1957,1081.37707519531
1207,-1418,1611,1151.24670410156
1307,-1418,1515,1182.76708984375
1407,-1418,1155,815.136169433594
1507,-1418,1197,776.54052734375
1607,-1418,1384,1082.98742675781
1707,-1418,1445,1031.16040039062
1807,-1418,1332,1274.13525390625
-893,-1518,315,430.124603271484
-793,-1518,241,394.332305908203
-593,-1518,157,401.410247802734
-493,-1518,165,471.236511230469
-393,-1518,290,450.027648925781
-293,-1518,281,415.370300292969
-193,-1518,393,448.510772705078
-93,-1518,567,432.028778076172
7,-1518,572,638.652465820312
107,-1518,668,942.108764648438
207,-1518,678,895.754150390625
307,-1518,932,1154.61059570312
407,-1518,1180,1116.34045410156
507,-1518,1379,1241.79455566406
607,-1518,1625,888.282775878906
707,-1518,1614,825.516967773438
807,-1518,1615,680.327331542969
907,-1518,2073,1096.08142089844
1007,-1518,2025,1024.10827636719
1107,-1518,2083,1098.93713378906
1207,-1518,1707,1222.38891601562
1307,-1518,1746,1202.77880859375
1407,-1518,1478,1259.09143066406
1507,-1518,1634,1099.21081542969
1607,-1518,1688,1143.65905761719
1707,-1518,1588,1235.53381347656
1807,-1518,1483,1240.71948242188
1907,-1518,1136,1132.59936523438
-493,-1618,175,453.052276611328
-393,-1618,332,444.586120605469
-293,-1618,380,420.395080566406
-193,-1618,404,449.077392578125
-93,-1618,457,600.242797851562
7,-1618,452,698.779724121094
107,-1618,678,942.108764648438
207,-1618,767,917.160095214844
307,-1618,983,1829.23107910156
407,-1618,1214,1345.08117675781
507,-1618,1260,1077.63195800781
607,-1618,1534,1162.01110839844
707,-1618,1843,1044.58154296875
807,-1618,1709,1043.56091308594
907,-1618,1908,1020.96002197266
1007,-1618,1757,1157.98815917969
1107,-1618,1806,1121.90417480469
1407,-1618,1164,1093.65551757812
1507,-1618,1345,976.758544921875
1607,-1618,1514,1064.93859863281
1707,-1618,1628,1337.5029296875
1807,-1618,1227,1158.69580078125
1907,-1618,1293,1228.96472167969
-493,-1718,172,477.997039794922
-393,-1718,198,443.620880126953
-293,-1718,225,404.040008544922
-193,-1718,234,440.316619873047
-93,-1718,394,472.757232666016
7,-1718,561,642.865844726562
107,-1718,714,921.231262207031
207,-1718,825,915.734924316406
307,-1718,990,1218.58264160156
407,-1718,1140,1158.65283203125
507,-1718,1308,1000.73602294922
607,-1718,1860,1075.25695800781
707,-1718,1692,1178.86828613281
807,-1718,1598,1068.98071289062
907,-1718,2013,1041.69287109375
1007,-1718,1614,1157.98815917969
1107,-1718,1626,1109.6767578125
1707,-1718,1662,1201.88659667969
1807,-1718,1282,1130.84228515625
1907,-1718,1457,1241.52014160156
2007,-1718,1479,1324.04541015625
-93,-1818,385,568.807067871094
7,-1818,474,608.306762695312
107,-1818,583,589.375671386719
207,-1818,585,769.624633789062
307,-1818,796,1328.31274414062
407,-1818,1147,1376.44555664062
507,-1818,1490,1070.00756835938
1707,-1818,1216,1316.63598632812
1807,-1818,1384,1310.96569824219
1907,-1818,1335,1135.63317871094
2007,-1818,2025,1301.63818359375
7,-1918,364,551.785766601562
107,-1918,448,557.089233398438
207,-1918,426,930.888122558594
307,-1918,435,788.107360839844
1807,-1918,1303,846.416198730469
1907,-1918,1600,1229.50183105469
2007,-1918,1857,1237.40563964844
7,-2018,403,570.204162597656
107,-2018,382,557.089233398438
207,-2018,307,960.719970703125
307,-2018,327,696.65771484375
